#Position (bp)	Coverage	Std
15197.0	71.63827197051953	80.93342893428098
45590.0	55.44286513341888	39.8516959223074
75983.0	52.01260158589149	35.65357498585341
106376.0	52.63086895008719	33.8175198737714
136769.0	49.82690093113546	36.952557795833215
167162.0	79.33701839239299	48.169142388248645
197555.0	59.72895074523739	46.507966188187616
221485.0	55.91629930726513	39.67184480128945
236681.5	75.75823920779824	56.4198079030093
258341.0	74.92198861579969	51.98778484704905
288734.0	69.30490573487316	45.01253440116654
319127.0	64.61560227684006	46.6477435300138
349520.0	56.979370249728554	36.07405776366641
379913.0	48.86654821833975	36.32231995423968
410306.0	51.848155825354524	37.16288274493422
440699.0	54.909025104464845	48.80506321452658
471092.0	46.77086829204093	37.93536211434421
501485.0	51.73697890961735	39.09669728873839
531878.0	39.866252097522455	27.293368131003156
562271.0	41.776132662126145	28.708740612967805
592664.0	39.28450630079295	25.764398522718437
623057.0	40.40249399532787	27.589748501097855
653450.0	44.39963149409404	30.90821313065537
683843.0	39.962293949264634	26.912251957652515
714236.0	31.53008916526832	26.07760513959697
744629.0	51.7119073470865	32.61255764575677
775022.0	45.30964366794986	28.460608189867674
805415.0	50.75395650314217	32.95418412843937
835808.0	47.324351001875435	32.87049413072038
866201.0	50.96854538874083	34.051470579641624
896594.0	51.55993156318889	33.24876103784578
926987.0	59.96703188234133	42.428200599366555
957380.0	60.65508505247919	38.389392645708526
987773.0	73.7490540585003	49.05938324380794
1018166.0	79.62435429210673	57.240017210827176
1038382.5	79.67778884462152	51.691616410896984
1053579.0	74.21082887043679	55.54301293638288
1078952.0	60.18165367025302	42.06921721732318
1109345.0	50.45665120257954	33.585747494601996
1139738.0	47.8701345704603	35.19084284296166
1170131.0	46.107886684433915	32.57026299231872
1200524.0	47.414898167341164	39.19250917343905
1230917.0	54.35284440496167	38.92184830390715
1261310.0	48.55144276642648	35.11579380797088
1291703.0	54.350376731484225	36.24460654092802
1322096.0	76.10229329121837	52.739841387779435
1348657.5	71.93330400351958	51.48594561323039
1363854.0	74.86885031971812	42.74650247488457
1382882.0	69.68864541177244	46.83295633102451
1413275.0	56.048168986279734	37.044251603229235
1443668.0	58.18063369854901	39.99744711032201
1474061.0	57.11275622676274	35.289132002579436
1504454.0	56.13953870957128	39.36251007019359
1534847.0	53.60875859572928	36.34316375793804
1565240.0	50.74082848024216	36.714069196675155
1595633.0	47.01608923107295	29.8982761937278
1626026.0	52.898068634224984	35.16639522153653
1656419.0	42.56322179449215	27.931767359210102
1686812.0	38.000296120817296	27.60273118600867
1717205.0	38.06689040239529	27.530007736344995
1747598.0	42.597703418550324	36.91572256060043
1777991.0	39.26815385121574	26.37711656882112
1808384.0	35.045503898924096	25.137464991877742
1838777.0	42.92136347185207	35.064949067564804
1869170.0	43.727535945776985	38.24291456717408
1899563.0	54.196755831934986	43.22664520018555
1929956.0	40.70628105155792	31.62842944940082
1960349.0	37.983779159674924	28.755367976161903
1990742.0	38.99065574309874	26.917751160572944
2021135.0	50.199289310038495	40.005118449868434
2051528.0	43.695785213700525	30.036645601091198
2081921.0	43.20346790379364	27.301701725699694
2112314.0	42.29677886355411	28.884651646055563
2142707.0	38.725101174612576	29.041790430672084
2173100.0	38.89231072944428	27.843053826150957
2203493.0	34.69772645016945	26.508301101898624
2233886.0	46.98993189221202	41.79540077500722
2264279.0	35.293916362320275	25.564529945354955
2294672.0	36.058269996380744	24.308500599482848
2325065.0	41.13983483038858	29.918441654847587
2355458.0	52.798440430362255	44.97251378728838
2385851.0	43.574869213305696	32.01519931534084
2416244.0	43.35425920442207	29.970326082599076
2446637.0	52.335735202184715	45.02328004189527
2477030.0	45.45934919224821	30.843766092272922
2507423.0	45.79110321455598	31.39530463557038
2537816.0	44.5279505149212	31.08218663790454
2568209.0	53.237423090843286	43.75626055671068
2598602.0	42.95278518079821	31.86714072489805
2628995.0	42.93679465666436	29.041918451469805
2659388.0	48.31026881189748	33.02787244097273
2689781.0	50.65278189056691	33.92118066265939
2720174.0	45.58358832625934	29.974184705475107
2750567.0	56.83575165334123	37.68578344607762
2780960.0	51.558121935972096	32.60629237390011
2811353.0	63.91527654394104	44.36565364083996
2841746.0	61.661830026650875	45.5255997466297
2872139.0	65.98716809791728	54.0541169901398
2889645.5	82.42142857142858	48.00620225080771
2904842.0	70.38788654793777	47.434991875157436
2932925.0	60.95581219359721	41.9616301270783
2963318.0	63.58592439048465	43.35595068169655
2993711.0	54.08702661797124	35.243613076585476
3024104.0	49.57700786365282	33.566086510883345
3054497.0	49.11183496199783	35.24127954585669
3084890.0	54.63787714276314	37.924586664609016
3115283.0	52.483664001579314	37.33457155609796
3145676.0	48.15572664758332	35.83199491110856
3176069.0	43.983614648109764	32.25308167086972
3206462.0	56.883262593360314	37.38669829089217
3236855.0	60.594215773368866	37.18034844908327
3267248.0	60.2912183726516	41.81271688758737
3297641.0	75.18336459053072	43.480222632159304
3322340.5	73.22077238766705	53.975329638808276
3337537.0	17.063581276894705	57.08339211998023
3358427.0	44.69262659164939	125.1367731308542
3388820.0	38.52630539926957	159.8979559970988
3410819.5	48.337130677642214	213.14465040478532
